LeftFootData
0=-1
0,2110749=-1
0,2280129=0
0,2396713=0
0,2585951=0
0,2751438=0
0,2909632=0
0,3013327=0
0,3188002=0
0,3334704=0
0,3472323=0
0,3588875=0
0,3793191=0
0,3966116=0
0,4132942=0
0,4245554=0
0,4382233=0
0,456613=0
0,4785264=0
0,4946176=0
0,5053359=0
0,5212469=0
0,5380111=0
0,5488953=0
0,5677058=0
0,5838587=0
0,5946357=0
0,6073888=0
0,6175685=0
0,6331966=0
0,6484711=0
0,6641797=0
0,6780304=0
0,6909469=0
0,7030155=0
0,7188296=0
0,7341118=0
0,7488377=0
0,7591597=0
0,7725101=0
0,7870266=0
0,7996966=0
0,8139231=0
0,8591765=0
0,8723856=0
0,8843703=0
0,8987816=0
0,9207312=0
0,9332881=0
0,9480444=0
0,9672878=0
0,9880354=0
1,004597=0
1,01857=0
1,03633=0
1,049149=0
1,061754=298,9955
1,083671=-206,8218
1,098175=-2,55077
1,115156=7,183774
1,12772=-7,052027
1,138023=-5,740915
1,151768=-5,516376
1,165397=-3,621739
1,179749=2,730004
1,192383=12,6487
1,206721=-6,276597
1,221285=-0,6586024
1,238852=6,665848
1,249009=-3,151374
1,263884=2,686032
1,274688=-13,571
1,291221=-2,581773
1,304326=9,823243
1,317519=0,9886639
1,327659=3,015263
1,34315=0,4096752
1,356282=-6,244303
1,374779=6,842303
1,38779=-5,057525
1,401651=-5,353061
1,416531=6,310691
1,432769=-5,605815
1,448855=-4,198647
1,46421=2,650937
1,488269=-2,751399
1,500641=1,581777
1,51463=-1,832174
1,528393=0,3322769
1,540402=0,3277431
1,555955=0,5467095
1,574257=0,9029802
1,588616=-1,741196
1,601689=1,991704
1,617721=-0,1102735
1,630928=-2,525841
1,647909=0
1,662519=0,381538
1,675165=0,7681174
1,688634=-0,5893019
1,701671=-0,1993813
1,714731=1,601092
1,730283=1,152616
1,7446=-0,2365151
1,759445=-2,379612
1,772834=0,7973415
1,78609=-0,8367519
1,797355=-0,02773222
1,815111=0,5148266
1,828117=5,039877
1,84105=-3,903554
1,858059=-1,058719
1,877579=0,3485052
1,889866=2,922182
1,903481=-3,283989
1,916937=0,9965941
1,928638=1,56784
1,941784=-2,65458
1,961893=4,346968
1,975108=-6,386297
1,988666=0
2,001304=0
2,018077=0
2,032399=0
2,045973=0
2,05729=0
2,078718=75,1282
2,092271=-44,41913
2,105706=-3,585248
2,123626=-19,39092
2,136683=-6,503528
2,151603=6,749483
2,164075=-5,927938
2,1791=4,719345
2,191677=7,449439
2,204629=8,421421
2,217881=-10,8542
2,230773=6,130377
2,242646=26,79358
2,257965=-41,05058
2,273929=34,45627
2,286207=-24,79555
2,298157=2,372872
2,311517=-6,200087
2,323729=0,7744581
2,335253=-12,55374
2,348687=6,927919
2,366333=4,121099
2,378637=0,2906202
2,393621=10,30832
2,405928=-9,44401
2,416399=0,7246001
2,42906=-5,881754
2,44129=-4,942288
2,460222=0,2964461
2,484036=9,887142
2,495189=-7,174747
2,512345=5,552083
2,524519=-4,647863
2,535166=0,1544668
2,548131=-2,268924
2,562843=5,770598
2,577608=-10,82718
2,593148=0,1662535
2,605968=-1,70584
2,619427=-0,4367764
2,632483=0,2978366
2,64471=-0,4715145
2,66305=-0,1461427
2,67517=-0,3381166
2,688778=0,04370858
2,702073=0,4213379
2,720146=-0,5593638
2,734115=0,2032314
2,746796=-0,3055205
2,760795=1,111112
2,775969=-0,5829813
2,790863=-0,09996464
2,804021=-0,1199894
2,817189=0,4715734
2,832847=0,4862867
2,845503=-1,23647
2,856993=1,164087
2,879624=-0,8244469
2,892373=0,0659688
2,904251=0,05617871
2,917258=0,04323151
2,931007=0,2562633
2,942348=0,5161582
2,9575=-0,3801715
2,976194=-0,2235591
2,990025=0,1801044
3,00352=0,8033316
3,017343=-0,1353252
3,030015=0,0358572
3,04364=2,176503
3,057321=-1,206086
3,076193=1,673018
3,093712=1,037539
3,106304=-0,5978529
3,118878=0,8319543
3,135786=-1,08879
3,147624=-4,16649
3,161593=0
3,191656=0
3,204993=0
3,219604=109,4203
3,235163=-74,42962
3,258648=-7,051748
3,273655=0,6674197
3,331448=-7,209949
3,346637=2,749779
3,360731=3,633472
3,378174=8,397684
3,392008=1,485497
3,40491=-4,681809
3,416902=-1,843216
3,431553=-3,450473
3,445302=11,79247
3,465165=-11,04184
3,481096=-7,114047
3,495693=-2,926727
3,508772=4,092198
3,520982=2,99722
3,534994=11,36758
3,545492=-5,466832
3,557904=-2,790057
3,574758=1,285809
3,591157=-6,757713
3,605409=-1,22134
3,617851=5,519766
3,630517=4,966224
3,64286=11,15812
3,656672=-14,92367
3,674632=5,332957
3,687786=-5,957228
3,701055=-2,152724
3,716373=3,359864
3,731732=-4,772084
3,74416=-2,653066
3,767228=-0,1551789
3,781371=-0,1555646
3,796123=0,1587176
3,813634=-0,3763017
3,826813=-0,5826492
3,840641=0,2065943
3,855811=0,1951112
3,872411=-0,3625199
3,886315=0,06486987
3,896773=0,2554625
3,908164=-0,3560479
3,920594=0,7858958
3,933132=0,7278408
3,949082=-1,375409
3,961175=0,2961453
3,974381=-0,1845947
3,987628=0,3431931
4,00142=-0,5711606
4,01399=1,348074
4,025309=-0,1474756
4,039486=-1,005793
4,049696=1,487859
4,064791=-1,169198
4,081069=-0,3668336
4,095243=0,3430706
4,108255=-0,3193374
4,12114=0,6243687
4,134538=-0,4304876
4,149479=0,1267548
4,160233=0,3679146
4,175052=1,039517
4,195656=0,05779046
4,207872=0,3818197
4,220296=-0,02750107
4,235309=2,212405
4,248133=-0,9744884
4,260025=-2,396861
4,270029=5,528336
4,285032=-6,283331
4,297818=0
4,312571=0
4,323923=0
4,334693=0
4,346777=0
4,358575=0
4,373832=0
4,387794=0
4,402261=130,9203
4,42023=-106,0443
4,433884=5,792109
4,446431=17,3306
4,45933=-22,59033
4,485651=-2,758081
4,498264=-4,839188
4,518058=3,544736
4,533992=7,079615
4,547242=-2,399086
4,561799=12,01506
4,576868=-10,92832
4,595059=7,817042
4,607697=-4,987747
4,619428=1,017766
4,633484=7,265341
4,645978=-15,70766
4,659841=-3,416613
4,673398=-3,335533
4,686672=-0,5384293
4,699473=3,640024
4,713276=9,980885
4,726124=-3,963386
4,738341=0,6699768
4,752297=6,452513
4,765221=-12,66468
4,780807=-3,730555
4,801051=2,777239
4,817429=9,262752
4,832361=-6,846725
4,84516=8,469395
4,856539=-7,986413
4,869832=-2,277929
4,88396=4,675523
4,897658=-8,037557
4,91487=1,107662
4,929251=-4,464362
4,942531=1,715412
4,959247=-2,782987
4,970154=0,04226329
4,984804=0,1466184
4,998451=-0,4422044
5,0178=-0,2163767
5,030928=-0,2614794
5,045994=0,319925
5,057959=-0,03033635
5,071746=0,1219477
